ORIGEN;NUM_IDENT;COD_CLIENTE;FEC_PRORROGA;ABO_VIGENTES;ABO_NOVIGENTES;PERDIDA_BENEF;FEC_PERDIDA_BENEF;ACCOUNT_MANAGER;DIRECTOR_CUENTA;TRAMO_HR;CONTACTO;ANTIGUEDAD_VTA;TIPO_TOP;REPACTACION;CONTENCION;CONT_MES;DESC_PORCENTAJE;DESC_MONTO;DESC_MES;CUOTA_EQ;CUOTA_EQ_MONTO;MES_BAJA;TENENCIA_PROD;FEC_PROCESO
SCL;12901891-7;30736372;;1;0;SI;03-10-2015;;;15:00 - 16:00;1;1 a 6 meses;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;12901891-7;30736372;;1;0;SI;03-10-2015;;;15:00 - 16:00;1;1 a 6 meses;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;12901891-7;9425712-38401167;;0;0;SI;03-10-2015;;;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;12901891-7;9425712-38401167;;0;0;SI;03-10-2015;;;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;3449227-1;27617556;;0;11;SI;03-10-2015;Claudio Navarrete;Nosvaldo Reyes;15:00 - 16:00;1;5 y mas;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;3449227-1;27617556;;0;11;SI;03-10-2015;Claudio Navarrete;Nosvaldo Reyes;15:00 - 16:00;1;5 y mas;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;3449227-1;30692106;23-11-2015;10;0;SI;03-10-2015;Claudio Navarrete;Nosvaldo Reyes;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;50849900-0;749079300-195213800;;0;0;NO;;;;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;5171321-4;19352099;;0;5;NO;;Jorge Alvarez;Nosvaldo Reyes;15:00 - 16:00;1;5 y mas;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;5171321-4;19352099;;0;5;NO;;Jorge Alvarez;Nosvaldo Reyes;15:00 - 16:00;1;5 y mas;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
ATIS;5171321-4;887782300-721448600;;0;0;NO;;Jorge Alvarez;Nosvaldo Reyes;15:00 - 16:00;1;;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
SCL;7448541-3;11225590;14-11-2015;1;4;NO;;Daniela Torres;Nosvaldo Reyes;15:00 - 16:00;1;5 y mas;MONTO;NO;DESCUENTO DE 5000 X 4 MESES;OCTUBRE;10;10000;ENERO;3;45000;ENERO;STB-BA-TV;11-11-2015
